
. tab ciclo rznotb [fweight=facexp] if sexo1==0&inactive&age3040

           |                                    rznotb
     ciclo |         0          3          5          6          7          8          9 |     Total
-----------+-----------------------------------------------------------------------------+----------
       160 |         0          0          0          0          0    326,870          0 |   598,616 
       161 |         0          0          0          0          0    414,308          0 |   921,711 
       162 |         0          0          0          0          0    455,983          0 |   708,755 
       163 |         0     51,546          0          0          0    129,768          0 |   670,658 
       164 |         0     64,536          0          0          0    109,774          0 |   414,680 
       165 |         0          0          0          0     17,937    211,203          0 |   418,865 
       166 |         0     33,288          0          0          0    158,458          0 |   429,814 
       167 |         0    108,022          0          0     71,084    106,514          0 |   436,301 
       168 |         0          0          0          0          0    473,559          0 |   566,961 
       169 |         0          0          0          0     95,130    228,395          0 |   335,319 
       170 |         0          0          0          0          0    629,451     18,347 |   708,106 
       171 |         0     98,669          0          0    119,647    170,572          0 |   478,895 
       172 |         0     50,095          0          0          0    253,289          0 |   403,451 
       173 |         0     67,791          0          0          0    678,568          0 |   807,080 
       174 |         0    128,467          0          0          0    310,730          0 |   513,258 
       175 |         0     23,185          0          0          0    236,989          0 |   562,406 
       176 |         0     21,793          0          0          0    453,056          0 |   576,091 
       177 |         0     20,843          0          0     13,187    465,609          0 |   653,050 
       178 |         0     20,860          0          0          0    513,590          0 |   684,954 
       179 |         0          0          0          0     11,248    241,117          0 |   366,610 
       180 |         0     71,019          0          0     23,407     71,889          0 |   195,038 
       181 |         0          0          0          0          0    530,082          0 |   611,568 
       182 |         0     10,918          0     16,763    164,718    746,015          0 | 1,013,128 
       183 |         0     65,337          0          0    157,082    223,901          0 |   465,207 
       184 |         0     43,478          0          0          0    188,999          0 |   354,195 
       185 |         0     29,558          0          0     47,670    285,590          0 |   592,311 
       186 |         0          0          0          0          0    534,499          0 |   680,414 
       187 |         0          0          0          0          0    126,870          0 |   157,573 
       188 |         0          0          0          0          0    328,020          0 |   434,895 
       189 |         0     46,014          0          0          0    586,827          0 |   668,940 
       190 |    14,856          0          0          0          0    707,427          0 | 1,709,723 
       191 |         0     32,142          0          0     44,793    277,998          0 | 4,399,952 
       192 |         0          0          0          0     18,506    433,635          0 | 2,944,829 
       193 |         0          0          0          0     19,458    508,958          0 | 2,218,455 
       194 |         0          0          0          0          0    190,437          0 | 3,535,535 
       195 |         0          0          0          0    135,011     96,077          0 | 2,668,002 
       196 |         0          0          0          0          0     48,867          0 | 1,096,855 
       197 |         0     23,102          0          0          0    532,446          0 | 1,281,238 
       198 |         0     51,220          0          0          0     60,889          0 |   278,046 
       199 |         0          0          0          0          0     66,881          0 |   507,584 
       200 |         0     32,947          0          0    119,260    173,499          0 |   749,348 
       201 |         0     30,753          0          0    104,347    507,857          0 |   895,416 
-----------+-----------------------------------------------------------------------------+----------
     Total |    72,278  1,610,468     93,240     59,301  2,323,713 20,315,434     59,724 |52,328,559 


           |                              rznotb
     ciclo |        10         11         12         13         14         15 |     Total
-----------+------------------------------------------------------------------+----------
       130 |         0    125,669     17,233          0     19,413     16,564 |   653,059 
       131 |         0          0     22,473          0          0     63,594 |   508,692 
       132 |         0          0     44,354          0     42,172          0 |   285,078 
       133 |         0          0     32,691          0     48,744      9,040 |   405,764 
       134 |         0          0          0          0          0     32,566 |   274,685 
       135 |         0          0          0          0          0    121,113 |   363,899 
       136 |    56,596     14,046     26,709          0          0          0 |   201,417 
       137 |    56,264          0          0          0          0     22,363 |   375,024 
       138 |         0          0     32,448          0          0     81,589 |   456,002 
       139 |         0          0          0          0          0     42,279 |   118,858 
       140 |         0          0          0          0          0          0 |   101,835 
       141 |         0          0     30,738     34,075          0     15,623 |   498,390 
       142 |         0          0          0          0          0     14,576 |   455,718 
       143 |    15,679     19,300          0          0     17,959     20,646 |   227,151 
       144 |         0     11,547          0          0          0    107,110 |   221,442 
       145 |         0     17,569          0          0          0     59,100 |   265,521 
       146 |    38,692     64,633          0          0          0     62,330 |   708,006 
       147 |    69,088     81,213     66,409     15,097          0          0 |   342,963 
       148 |    60,847    252,132     15,118          0          0     19,395 |   775,810 
       149 |         0    148,412          0          0          0     34,557 |   467,008 
       150 |         0     86,245     18,423          0    121,156          0 |   517,082 
       151 |    19,894    175,186          0          0    132,506     18,983 |   578,355 
       152 |    70,973    187,472     39,533          0     20,346          0 |   834,296 
       153 |    20,675     91,118          0          0          0     34,703 |   427,414 
       154 |         0     78,663          0          0          0     78,913 |   409,148 
       155 |    17,660    167,751     98,184          0     36,090     79,516 |   746,830 
       156 |         0    135,807          0          0          0     42,444 |   512,558 
       157 |         0    357,701          0          0     28,250          0 |   459,289 
       158 |   276,293    273,763          0          0     25,214          0 |   868,910 
       159 |   186,929     54,250          0          0          0     19,662 |   554,522 
       160 |         0    174,700     50,231     46,815          0          0 |   598,616 
       161 |    38,967    407,351          0          0     26,773     34,312 |   921,711 
       162 |    14,348    198,734          0          0          0     39,690 |   708,755 
       163 |         0    473,333          0          0          0     16,011 |   670,658 
       164 |         0    160,454     27,672          0          0     52,244 |   414,680 
       165 |    18,933    135,672          0          0     35,120          0 |   418,865 
       166 |         0    175,534          0          0          0     62,534 |   429,814 
       167 |         0     75,556     37,809          0     21,547     15,769 |   436,301 
       168 |         0     81,158          0          0          0     12,244 |   566,961 
       169 |         0          0          0          0          0     11,794 |   335,319 
       170 |         0     19,251     18,038          0          0     23,019 |   708,106 
       171 |         0          0     18,236          0          0     71,771 |   478,895 
       172 |         0     36,537          0          0     19,576     43,954 |   403,451 
       173 |         0          0          0          0          0     60,721 |   807,080 
       174 |         0          0          0          0     33,043     41,018 |   513,258 
       175 |         0          0          0     35,170    127,338    139,724 |   562,406 
       176 |    27,674     21,756          0     33,634     18,178          0 |   576,091 
       177 |         0     54,771          0          0     19,364     79,276 |   653,050 
       178 |         0    100,890          0          0          0     49,614 |   684,954 
       179 |    27,960     86,285          0          0          0          0 |   366,610 
       180 |         0          0          0          0          0     28,723 |   195,038 
       181 |    11,241          0          0     32,301     11,685     26,259 |   611,568 
       182 |    12,776          0          0          0          0     61,938 | 1,013,128 
       183 |         0          0          0          0          0     18,887 |   465,207 
       184 |         0          0     53,420          0     31,378     36,920 |   354,195 
       185 |         0     65,644          0          0     57,852    105,997 |   592,311 
       186 |         0          0          0          0     45,166    100,749 |   680,414 
       187 |         0          0          0          0     30,703          0 |   157,573 
       188 |         0          0          0          0          0    106,875 |   434,895 
       189 |         0          0     15,715          0          0     20,384 |   668,940 
       190 |   329,556    560,776          0          0     28,389     68,719 | 1,709,723 
       191 |   496,620  3,126,325          0          0          0    422,074 | 4,399,952 
       192 |    58,093  2,280,386          0          0          0    154,209 | 2,944,829 
       193 |   104,314  1,531,416          0          0          0     54,309 | 2,218,455 
       194 |   656,449  2,535,354          0          0     17,730    135,565 | 3,535,535 
       195 |   558,456  1,597,706          0          0    101,639    179,113 | 2,668,002 
       196 |    32,535    857,681          0          0     19,075    138,697 | 1,096,855 
       197 |    28,810    313,699          0          0    150,256    232,925 | 1,281,238 
       198 |         0     61,590          0          0     73,588     30,759 |   278,046 
       199 |    78,672     60,322          0          0    246,123     55,586 |   507,584 
       200 |    44,810          0          0          0          0    378,832 |   749,348 
       201 |         0     84,165          0          0    168,294          0 |   895,416 
-----------+------------------------------------------------------------------+----------
     Total | 3,429,804 17,619,523    665,434    197,092  1,774,667  4,107,881 |52,328,559 

. log close
